byline,headline,summary,time,url
,Play Today’s Puzzle,,,https://www.nytimes.com/crosswords
,Meet the Woman Who ‘Really Runs’ the New York Times Newsroom,,,https://www.nytimes.com/section/reader-center
,Play Today’s Puzzle,,,https://www.nytimes.com/crosswords
,Play Today’s Puzzle,,,https://www.nytimes.com/crosswords
,,,,https://wordplay.blogs.nytimes.com
,,,,
,Review: Waiting for Po-Po in a Searing ‘Pass Over’,,,https://www.nytimes.com/2018/06/18/theater/review-pass-over-antoinette-nwandu.html
,The Man Who Could Topple Erdogan,,,https://www.nytimes.com/2018/06/19/opinion/ince-erdogan-turkey-election.html
,The Elephant’s Superb Nose,,,https://www.nytimes.com/2018/06/19/science/elephants-smell-trunk.html
,What Kind of Art Does an Artist Like?,,,https://www.nytimes.com/2018/06/18/t-magazine/glenn-ligon-adrian-piper-art.html
,Here’s How to Break the Impasse on Climate,,,https://www.nytimes.com/2018/06/20/opinion/climate-change-fee-carbon-dioxide.html
,Dr. Adel Mahmoud Dies; Credited With Vaccines,,,https://www.nytimes.com/2018/06/19/obituaries/dr-adel-mahmoud-76-dies-credited-with-major-vaccines.html
,On Mexico’s Migrant Trail: Confusion and Tough Choices,,,https://www.nytimes.com/2018/06/19/world/americas/mexico-family-separation-immigration.html
,Hungary Passes ‘Stop Soros’ Law Criminalizing Aid to Migrants,,,https://www.nytimes.com/2018/06/20/world/europe/hungary-stop-soros-law.html
,"As Kim Ends Beijing Visit, China and North Korea Craft New Messages",,,https://www.nytimes.com/2018/06/20/world/asia/china-north-korea-kim-visit.html
,Immigration Myths and Global Realities,,,https://www.nytimes.com/interactive/2018/06/20/business/economy/immigration-economic-impact.html
,American Airlines Asks Government Not to Use Its Flights to Carry Immigrant Children,,,https://www.nytimes.com/2018/06/20/us/airlines-transport-immigrant-children.html
,Walmart ‘Surprised’ Old Store Is a Migrant Shelter. Records Hinted at the Possibility.,,,https://www.nytimes.com/2018/06/20/business/walmart-migrant-children-shelter.html
,American Internment Camps,,,https://www.nytimes.com/2018/06/20/opinion/american-internment-camps.html
,"‘If It Could Happen to Them, Why Can’t It Happen to Us?’",,,https://www.nytimes.com/2018/06/19/opinion/children-border-separated-foster-care-trauma.html
,Ross Douthat: The Handmaids of Capitalism,,,https://www.nytimes.com/2018/06/20/opinion/feminism-capitalism.html
,Where Trump’s ‘Zero Tolerance’ Immigration Policy Began,,,https://www.nytimes.com/video/us/100000005962386/trump-zero-tolerance-immigration-policy.html
,What’s Behind the ‘Tender Age’ Shelters Opening for Young Migrants,,,https://www.nytimes.com/2018/06/20/us/tender-age-shelters-family-separation-immigration.html
,American Cardinal Accused of Sexually Abusing Minor Is Suspended From Ministry,,,https://www.nytimes.com/2018/06/20/us/theodore-mccarrick-sex-abuse.html
,State of the Art: How Tech Companies Conquered America’s Cities,,,https://www.nytimes.com/2018/06/20/technology/tech-companies-conquered-cities.html
,Instagram Allows Longer Videos in Challenge to YouTube,,,https://www.nytimes.com/2018/06/20/technology/instagram-videos.html
,"Microsoft Employees Protest Work With ICE, as Tech Industry Mobilizes Over Immigration",,,https://www.nytimes.com/2018/06/19/technology/tech-companies-immigration-border.html
,Josh Brolin Fears the Summer of Josh Brolin,,,https://www.nytimes.com/2018/06/20/movies/josh-brolin-avengers-deadpool-sicario.html
,"In Venice, Center of Cruising, a Biennale Show About Hooking Up",,,https://www.nytimes.com/2018/06/20/arts/design/cruising-pavilion-venice-architecture-biennale-.html
,Dawes Has Been Tied to the Past. The Band’s New Album Unlocks Its Future.,,,https://www.nytimes.com/2018/06/20/arts/music/dawes-passwords-taylor-goldsmith.html
,"Steve Schmidt, Longtime G.O.P. Strategist, Quits ‘Corrupt’ and ‘Immoral’ Party",,,https://www.nytimes.com/2018/06/20/us/politics/party-of-trump-steve-schmidt.html
,Michael Bloomberg Will Spend $80 Million on the Midterms. His Goal: Flip the House for the Democrats.,,,https://www.nytimes.com/2018/06/20/us/politics/mike-bloomberg-democrats-election.html
,Trump Signs Executive Order to Keep Families Together,,,https://www.nytimes.com/2018/06/20/us/politics/trump-immigration-children-executive-order.html
,The Glamorous Grandmas of Instagram,,,https://www.nytimes.com/2018/06/20/style/instagram-grandmas.html
,Skin Deep: The Wellness World’s Buzzy New Best Friend,,,https://www.nytimes.com/2018/06/20/style/bees-beauty-wellness.html
,You Could Be in a Gay Bar Right Now and Not Even Know It,,,https://www.nytimes.com/2018/06/20/style/new-york-gay-bars-that-are-gone.html
,Josh Brolin Fears the Summer of Josh Brolin,,,https://www.nytimes.com/2018/06/20/movies/josh-brolin-avengers-deadpool-sicario.html
,Kevin Spacey Film to Hit Theaters Despite Sexual Misconduct Accusations,,,https://www.nytimes.com/2018/06/20/movies/kevin-spacey-billionaire-boys-club.html
,‘Incredibles 2’ Moviegoers Warned About Possible Seizures,,,https://www.nytimes.com/2018/06/18/movies/incredibles-2-seizures-epilepsy.html
,Children Taken at the Border Arrive in New York,,,https://www.nytimes.com/2018/06/20/nyregion/children-separated-border-new-york.html
,American Cardinal Accused of Sexually Abusing Minor Is Suspended From Ministry,,,https://www.nytimes.com/2018/06/20/us/theodore-mccarrick-sex-abuse.html
,Marijuana in New York: Here’s How the Laws Are Changing,,,https://www.nytimes.com/2018/06/20/nyregion/marijuana-laws-new-york.html
,One Magic Ronaldo Moment Is All Portugal Needs vs. Morocco,,,https://www.nytimes.com/2018/06/20/sports/world-cup/portugal-morocco.html
,Spain Holds Off a Surprisingly Stiff Challenge From Iran,,,https://www.nytimes.com/2018/06/20/sports/world-cup/spain-vs-iran.html
,The Infamous Sochi Drug-Testing Lab Is Now a Gastro Pub,,,https://www.nytimes.com/2018/06/19/sports/world-cup/russian-doping.html
,Falling for the Lure of the Stage. The Backstage.,,,https://www.nytimes.com/2018/06/18/theater/roundabout-theater-company-backstage-diversity.html
,"Review: ‘Sugar in Our Wounds’ May Make You Cry About the Past, and the Present",,,https://www.nytimes.com/2018/06/19/theater/sugar-in-our-wounds-review-manhattan-theater-club.html
